word,grammarId,title,partOfSpeech,syntax,usageNoteVi,explanationVi,tipsVi,attentionsVi,source,reviewStatus
T恤,usage:T恤,Cách dùng T恤,danh từ,,,,,,hsk_2.json,reviewed-local
一下,usage:一下,Cách dùng 一下,other,,一下 dùng sau động từ để chỉ hành động diễn ra trong thời gian ngắn hoặc với mức độ nhẹ.,,,,hsk_1.json,reviewed-local
一下,hsk2_8,Cách dùng 一下 sau động từ,,Động từ + 一下 (yíxià),,"Cấu trúc 「一下」 được đặt sau động từ để diễn tả một hành động diễn ra trong thời gian ngắn hoặc mang tính chất thử nghiệm. Nó giúp câu nói của bạn trở nên nhẹ nhàng, tự nhiên và mang tính lịch sự hơn khi đưa ra yêu cầu.",Bạn có thể hiểu 「一下」 tương đương với việc lặp lại động từ (ví dụ: 「看一看」 hoặc 「看下」) để giảm bớt sự cứng nhắc trong giao tiếp.,"「一下」 chỉ được phép đứng sau động từ, không được đứng sau danh từ hay tính từ.",hsk_2.json,reviewed-local
一下,hsk3_4,Bổ ngữ xu hướng đơn giản,,Động từ + 来/去 (Bổ ngữ chỉ phương hướng đơn giản),,Cấu trúc này dùng để mô tả hướng di chuyển của hành động. Ta dùng 「来」 khi hành động hướng về phía người nói và 「去」 khi hành động hướng rời xa người nói.,"Nếu tân ngữ chỉ nơi chốn, bạn nên đặt nó ở giữa động từ và bổ ngữ, ví dụ: 「回学校来」 (trở về trường học [hướng về phía tôi]).","Đừng nhầm lẫn giữa hướng đi và mục đích; đây chỉ là bổ ngữ chỉ phương hướng của hành động, không phải là động từ chính chỉ sự di chuyển.",hsk_3.json,reviewed-local
一下,hsk3_40,Lặp lại động từ hai âm tiết,,Động từ AB -> ABAB (Ví dụ: 休息 -> 休息休息),,"Khi muốn diễn tả một hành động diễn ra trong thời gian ngắn hoặc mang tính chất thử làm, chúng ta lặp lại động từ hai âm tiết theo cấu trúc 「ABAB」. Cách nói này giúp câu văn trở nên nhẹ nhàng, tự nhiên và giảm bớt tính trang trọng.","Bạn có thể thêm 「一下」 vào sau dạng lặp 「ABAB」 để làm cho ngữ khí thêm mềm mỏng, ví dụ: 「休息休息一下」.","Cấu trúc này chỉ áp dụng cho động từ hai âm tiết, không dùng cho các động từ chỉ trạng thái tâm lý hoặc các động từ đơn tiết.",hsk_3.json,reviewed-local
一下,hsk5_73,Cấu trúc 万一 (ngộ nhỡ),,万一 + [mệnh đề/tình huống xấu] + (thì) + [kết quả/hành động đối phó],,"Liên từ 「万一」 dùng để diễn tả một khả năng rủi ro có xác suất rất nhỏ xảy ra, tương đương với nghĩa là ""ngộ nhỡ"" hoặc ""nếu chẳng may"". Nó thường được dùng để dự phòng trước cho các tình huống không mong muốn.","Vế sau của câu thường đi kèm với các từ chỉ cách giải quyết như 「就」, 「得」 hoặc 「准备」 để chuẩn bị cho tình huống xấu đó.","「万一」 chỉ dùng cho các tình huống mang tính tiêu cực hoặc không mong đợi, tuyệt đối không dùng cho các sự việc tốt đẹp.",hsk_5.json,reviewed-local
一下,hsk5_101,Phân biệt cách dùng 应付 và 处理,,应付 (đối phó/ứng phó) vs 处理 (xử lý/giải quyết),,"「应付」 thường mang nghĩa tiêu cực, chỉ việc đối phó tạm thời, làm cho xong chuyện hoặc thiếu sự tận tâm. Ngược lại, 「处理」 mang nghĩa tích cực, là việc giải quyết vấn đề một cách nghiêm túc, triệt để và có trách nhiệm.",Hãy dùng 「处理」 khi bạn muốn nói về việc giải quyết công việc hoặc sự cố một cách chuyên nghiệp và hiệu quả.,"Cần tránh dùng 「应付」 trong môi trường công việc nghiêm túc, vì từ này thường gợi cảm giác bạn đang làm việc đối phó, không có thiện chí.",hsk_5.json,reviewed-local
一下,hsk1_new_35,Động từ + 一下 (hành động ngắn),,Động từ + 一下 (yíxià),,"Cấu trúc này dùng để diễn tả hành động diễn ra trong thời gian rất ngắn hoặc mang tính chất thử nghiệm, trải nghiệm. Việc thêm 「一下」 giúp câu nói trở nên nhẹ nhàng, lịch sự và tự nhiên hơn khi đưa ra yêu cầu hoặc đề nghị.","Bạn có thể dùng cấu trúc này để giảm bớt sự cứng nhắc của câu mệnh lệnh, ví dụ: 「看一下」(xem một chút) thay vì chỉ dùng 「看」(xem).","Không được dùng 「一下」 sau các động từ chỉ trạng thái tâm lý hoặc cảm xúc như 「爱」(yêu), 「喜欢」(thích) hay 「知道」(biết).",new_hsk_1.json,reviewed-local
一下,hsk2_new_9,Lặp lại động từ,,Động từ đơn: AA | Động từ đa: ABAB | Thêm '了' giữa: A了A / AB了AB,,"Việc lặp lại động từ nhằm diễn tả hành động xảy ra trong thời gian ngắn, mang tính chất thử nghiệm hoặc nhẹ nhàng. Cấu trúc này giúp câu văn trở nên tự nhiên và mềm mại hơn trong giao tiếp.","Nếu động từ là từ đơn âm tiết, bạn có thể thêm 「了」 vào giữa hai từ, ví dụ: 「看一看」 hoặc 「看一看」 đều ổn.","Động từ lặp lại thường chỉ dùng cho các hành động mang tính ý chí, không dùng cho các động từ chỉ trạng thái tâm lý như 「爱」, 「想」 hay 「知道」.",new_hsk_2.json,reviewed-local
一下,hsk2_new_19,Cấu trúc một khi... liền...,,一 [động từ/tính từ] 就 [động từ/tính từ],,Cấu trúc này dùng để diễn tả hai hành động hoặc sự việc xảy ra nối tiếp nhau rất nhanh. Khi vế trước vừa xảy ra xong thì vế sau lập tức diễn ra ngay sau đó.,"Bạn có thể hiểu 「一」 mang nghĩa là 'vừa mới' và 「就」 mang nghĩa là 'liền', 'ngay lập tức'.","Không được dùng từ chỉ thời gian cụ thể (như 'hôm qua', 'ngày mai') trong cấu trúc này vì nó chỉ mối quan hệ nhân quả hoặc trình tự thời gian sát nút.",new_hsk_2.json,reviewed-local
