word,collocation,collocationPinyin,collocationMeaning,sentenceChinese,sentencePinyin,sentenceMeaning,source
一下,等一下,děng yīxià,đợi một lát,请等一下。,Qǐng děng yīxià.,Xin hãy đợi một lát.,hsk_1.json
一下,看一下,kàn yīxià,xem một chút,我来看一下。,Wǒ lái kàn yīxià.,Để tôi xem một chút.,hsk_1.json
一下,看一下,kàn yīxià,xem một chút,我看一下。,wǒ kàn yī xià,Để tôi xem một chút.,hsk_2.json
一下,看一下,kàn yīxià,xem một chút,看一下,kàn yī xià,Xem một chút,new_hsk_1.json
一定,一定要,yī dìng yào,nhất định phải,七郎暗暗下定决心一定要杀死“夕”，果然他做到了。,qī láng àn àn xià dìng jué xīn yī dìng yào shā sǐ xī guǒ rán tā zuò dào le,"Thất Lang âm thầm quyết tâm nhất định phải giết chết “Tịch”, quả nhiên anh ấy đã làm được.",hsk_4.json
一定,一定要,yī dìng yào,nhất định phải,作为一名老师，一定要对学生负责。,zuò wèi yī míng lǎo shī yī dìng yào duì xué shēng fù zé,"Với tư cách là một giáo viên, nhất định phải có trách nhiệm với học sinh.",hsk_5.json
一样,一样,yīyàng,giống nhau,我们一样,Wǒmen yīyàng,Chúng tôi giống nhau,hsk_1.json
一样,一样,yīyàng,giống nhau,这两个一样,Zhè liǎng gè yīyàng,Hai cái này giống nhau,hsk_1.json
一样,一样,yīyàng,giống nhau,一样吗？,Yīyàng ma?,Giống nhau không?,hsk_1.json
一样,我们一样,wǒmen yīyàng,chúng tôi giống nhau,我们一样,Wǒmen yīyàng,Chúng tôi giống nhau,hsk_1.json
一样,这两个一样,zhè liǎng gè yīyàng,hai cái này giống nhau,这两个一样,Zhè liǎng gè yīyàng,Hai cái này giống nhau,hsk_1.json
一直,一直,yī zhí,thẳng,一直往前走,yī zhí wǎng qián zǒu,Đi thẳng về phía trước,hsk_1.json
一直,一直,yī zhí,thẳng,一直在学习,yī zhí zài xué xí,Luôn luôn học tập,hsk_1.json
一直,一直,yī zhí,thẳng,我早就复习好了。那也不能一直玩儿吧。,wǒ zǎo jiù fù xí hǎo le nà yě bù néng yī zhí wán ér ba,Tôi đã ôn tập xong từ lâu rồi. Vậy cũng không thể chơi suốt được.,hsk_3.json
一般,一般,yī bān,thông thường,一般情况,yī bān qíng kuàng,Tình huống thông thường,hsk_1.json
一般,一般,yī bān,thông thường,一般来说，熊猫每天要睡很多次觉。,yī bān lái shuō xióng māo měi tiān yào shuì hěn duō cì jué,"Thông thường mà nói, gấu trúc mỗi ngày phải ngủ rất nhiều lần.",new_hsk_3.json
一般,一般,yī bān,thông thường,一般来说，学习外语需要多练习。,yī bān lái shuō xué xí wài yǔ xū yào duō liàn xí,"Thông thường, học ngoại ngữ cần phải luyện tập nhiều.",new_hsk_3.json
一起,一起,yīqǐ,chung với nhau,我们一起去,Wǒmen yīqǐ qù,Chúng tôi đi cùng nhau,hsk_1.json
一起,一起,yīqǐ,chung với nhau,和你一起学习,hé nǐ yīqǐ xuéxí,học cùng bạn,hsk_1.json
一起,一起,yīqǐ,chung với nhau,住在一起,zhù zài yīqǐ,sống cùng nhau,hsk_1.json
一起,一起吃饭,yīqǐ chīfàn,ăn cùng nhau,一起吃饭,yīqǐ chīfàn,ăn cùng nhau,hsk_1.json
一起,住在一起,zhù zài yīqǐ,sống cùng nhau,住在一起,zhù zài yīqǐ,sống cùng nhau,hsk_1.json
上升,水平上升,shuǐpíng shàngshēng,trình độ tăng lên,这几年，他的汉语水平上升很快。,"Zhè jǐ nián, tā de Hànyǔ shuǐpíng shàngshēng hěn kuài.","Những năm gần đây, trình độ tiếng Trung của anh ấy tăng lên rất nhanh.",hsk_3.json
上午,上午好,shàngwǔ hǎo,chào buổi sáng,上午好,Shàngwǔ hǎo,Chào buổi sáng,hsk_1.json
上午,今天上午,jīntiān shàngwǔ,sáng hôm nay,今天上午,Jīntiān shàngwǔ,sáng hôm nay,hsk_1.json
上午,上午,shàngwǔ,buổi sáng,我上午去上班,Wǒ shàngwǔ qù shàngbān,Sáng tôi đi làm,hsk_1.json
上午,上午,shàngwǔ,buổi sáng,上午好,Shàngwǔ hǎo,Chào buổi sáng,hsk_1.json
上午,上午,shàngwǔ,buổi sáng,今天上午,Jīntiān shàngwǔ,sáng hôm nay,hsk_1.json
上去,跑上去,pǎo shàngqu,chạy lên,请跑上去。,Qǐng pǎo shàngqu.,Làm ơn chạy lên trên.,hsk_2.json
上去,走上去,zǒu shàngqu,đi lên,他走上去了。,Tā zǒu shàngqu le.,Anh ấy đã đi lên rồi.,hsk_2.json
上去,走上去,zǒu shàngqu,đi lên,楼不高，我们走上去吧。,lóu bù gāo wǒ men zǒu shàng qù ba,"Lầu không cao, chúng ta đi bộ lên đi.",new_hsk_2.json
上学,去上学,qù shàngxué,đi đi học,孩子们都去上学了。,Háizimen dōu qù shàngxué le.,Các đứa trẻ đều đi học rồi.,hsk_1.json
上来,跑上来,pǎo shànglái,chạy lên đây,他从楼下跑上来了。,Tā cóng lóu xià pǎo shànglái le.,Anh ấy chạy lên đây từ dưới tầng.,hsk_2.json
