char,tier,pinyin,meaningVi,missing,source
㐄,C,kuà,"thành phần trong chữ Hán, hình ảnh phản chiếu của 夂[zhi3]","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3404.json
㐅,C,wǔ,biến thể cổ của 五[wu3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3405.json
㐆,C,yǐn,thành phần trong chữ Hán 殷[yin1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3406.json
㐌,B,tā,biến thể của 它[ta1],"từ liên quan, câu liên quan, Hán Việt",chars/340C.json
㐖,C,xié,dùng trong 㐖毒[Xie2 du2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3416.json
㐜,C,chóu,biến thể của 仇[chou2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/341C.json
㐡,C,nuò,biến thể cổ của 懦[nuo4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3421.json
㐤,C,qiú,biến thể cổ của 求[qiu2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3424.json
㐫,C,xiōng,biến thể cũ của 凶[xiong1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/342B.json
㐬,C,liú,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/342C.json
㐭,C,lǐn,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/342D.json
㐰,C,xìn,biến thể cũ của 信[xin4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3430.json
㐱,C,zhěn,,"nghĩa, từ liên quan, câu liên quan, Hán Việt",chars/3431.json
㐷,C,mà,biến thể của 罵|骂[ma4],"bộ thủ, từ liên quan, câu liên quan",chars/3437.json
㐺,C,zhòng,biến thể cũ của 眾|众[zhong4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/343A.json
㑇,C,zhòu,(cũ) đẹp; thông minh,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3447.json
㑩,B,luó,thông minh; lanh lợi,"từ liên quan, câu liên quan, Hán Việt",chars/3469.json
㒳,C,liǎng,biến thể cũ của 兩|两[liang3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/34B3.json
㒸,B,suì,biến thể cổ của 遂[sui4],"từ liên quan, câu liên quan, Hán Việt",chars/34B8.json
㒼,C,mán,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/34BC.json
㓞,C,qià,,"nghĩa, từ liên quan, câu liên quan, Hán Việt",chars/34DE.json
㔾,C,jié,"bộ ""tiết"" trong chữ Hán (bộ Khang Hy số 26)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/353E.json
㕡,C,hé,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3561.json
㕥,C,shēn,biến thể cũ của 呻[shen1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3565.json
㕯,C,nè,biến thể cũ của 訥|讷[ne4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/356F.json
㕻,C,pǒu,biến thể của 咅[pou3]; cũng đọc là [tou4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/357B.json
㖊,C,xún,"sải nước (1,83 mét) (cũ)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/358A.json
㖞,C,wāi,méo (miệng); lệch,"bộ thủ, từ liên quan, câu liên quan",chars/359E.json
㗂,C,shěng,biến thể của 省[sheng3]; kiệm lời,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/35C2.json
㗎,C,jià,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/35CE.json
㚔,C,niè,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3694.json
㚻,C,jī,dùng trong 㚻姦|㚻奸[ji1 jian1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/36BB.json
㛀,C,chú,phụ nữ mang thai (cổ),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/36C0.json
㛂,C,nuǒ,duyên dáng; mảnh mai và nhỏ nhắn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/36C2.json
㝄,C,chún,biến thể cũ của 純|纯[chun2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3744.json
㝇,C,chún,biến thể cũ của 鶉|鹑[chun2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3747.json
㝉,B,zhù,lưu trữ; đứng,"từ liên quan, câu liên quan",chars/3749.json
㝵,B,ài,biến thể của 礙|碍[ai4],"từ liên quan, câu liên quan, Hán Việt",chars/3775.json
㞎,C,bǎ,(tiếng địa phương) ị; (tiếng địa phương) đi ị,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/378E.json
㞗,C,qiú,(tiếng địa phương) dương vật; cu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3797.json
㞙,C,niào,biến thể cũ của 尿[niao4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3799.json
㟥,C,cēn,không đồng đều; không uniform,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/37E5.json
㡭,C,jì,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/386D.json
㡿,C,chì,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/387F.json
㢆,C,chán,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3886.json
㢟,C,chān,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/389F.json
㢲,C,xùn,biến thể của 巽[xun4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/38B2.json
㢴,C,xī,biến thể cũ của 西[xi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/38B4.json
㣎,C,mù,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/38CE.json
㤅,C,ài,biến thể cổ của 愛|爱[ai4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3905.json
㤽,C,chóu,dùng trong 懤懤|㤽㤽[chou2 chou2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/393D.json
㥁,C,dé,biến thể của 德[de2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3941.json
㥏,C,tiǎn,xấu hổ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/394F.json
㥯,B,yǐn,cẩn thận,"từ liên quan, câu liên quan, Hán Việt",chars/396F.json
㦂,C,cháng,biến thể cũ của 常[chang2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3982.json
㧑,C,huī,tách ra; chỉ đạo,"bộ thủ, từ liên quan, câu liên quan",chars/39D1.json
㧜,C,liè,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/39DC.json
㧯,C,lǎo,giỏ đan tròn đáy; (phương ngữ) nhấc,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/39EF.json
㧰,C,lüè,(cổ) đánh; giã,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/39F0.json
㨃,C,duǐ,biến thể của 懟|怼[dui3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3A03.json
㨫,C,lǎn,biến thể của 擥[lan3],"bộ thủ, từ liên quan, câu liên quan",chars/3A2B.json
㩐,C,dèn,biến thể của 扽[den4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3A50.json
㪃,C,hé,đánh; đập,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3A83.json
㪋,C,hàn,biến thể của 捍[han4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3A8B.json
㫃,C,yǎn,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3AC3.json
㫺,C,xī,biến thể cũ của 昔[xi1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3AFA.json
㬎,C,xiǎn,biến thể cũ của 顯|显[xian3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3B0E.json
㮎,C,bēi,biến thể của 杯[bei1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3B8E.json
㮚,C,lì,biến thể cũ của 栗[li4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3B9A.json
㮸,C,sòng,biến thể của 送[song4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3BB8.json
㯳,C,qíng,biến thể của 檠[qing2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3BF3.json
㱩,C,dú,sảy thai; chết lưu,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3C69.json
㱮,C,kuì,hoại tử; lở loét (biến thể cũ của 潰|溃[hui4]),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3C6E.json
㱾,C,gāi,một loại đồ trang sức bằng kim loại hoặc ngọc thời xưa đeo để xua đuổi tà ma,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3C7E.json
㲈,C,sháo,biến thể của 韶[shao2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3C88.json
㲋,C,chuò,tên cổ cho một loài động vật giống thỏ nhưng to hơn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3C8B.json
㲱,C,liè,biến thể cũ của 鬣[lie4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3CB1.json
㲾,C,yǔ,biến thể cũ của 雨[yu3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3CBE.json
㳂,C,yán,biến thể của 沿[yan2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3CC2.json
㳮,C,niào,biến thể cũ của 尿[niao4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3CEE.json
㴋,C,xiāo,tiếng mưa và gió,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3D0B.json
㵪,C,xián,biến thể của 涎[xian2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3D6A.json
㵮,C,chún,nước trong,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3D6E.json
㶉,C,xī,dùng trong 鸂鶒|㶉鶒[xi1 chi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/3D89.json
㶶,C,nóng,(tiếng địa phương) làm cháy; làm khét,"bộ thủ, từ liên quan, câu liên quan",chars/3DB6.json
