target,relatedWord,pinyin,meaning,level
一,一下,yī xià,một lát,1
一,一些,yì xiē,một vài,1
一,一共,yī gòng,tổng cộng,1
一,一半,yī bàn,một nửa,1
一,一定,yī dìng,nhất định,1
一,一样,yī yàng,giống nhau,1
一,一直,yī zhí,thẳng,1
一,一般,yī bān,thông thường,1
一,一起,yī qǐ,cùng nhau,1
一,一边,yī biān,một bên,1
一,一下儿,yī xiàr,"một lúc, một lần",1
一,一会儿,yī huìr,"một lát, một chốc, một lúc",1
一,一点儿,yì diǎnr,"một chút, một ít",1
一,星期一,xīng qī yī,thứ Hai,1
一,一切,yī qiè,tất cả,2
一下,一下儿,yī xiàr,"một lúc, một lần",1
一下,一下子,yī xià zi,bất thình lình,2
一举,一举两得,yī jǔ liǎng dé,một mũi tên trúng hai đích,6
一举,一举一动,yī jǔ yī dòng,mỗi cử động,7
一代,下一代,xià yī dài,thế hệ tiếp theo,7
一会儿,不一会儿,bù yī huìr,trong chốc lát,2
一定,不一定,bù yī dìng,không nhất thiết,2
一心,一心一意,yī xīn yī yì,toàn tâm toàn ý,7
一手,第一手,dì yī shǒu,trực tiếp,7
一方面,另一方面,lìng yī fāng miàn,mặt khác,3
一样,一模一样,yī mú yī yàng,giống nhau,5
一概,一概而论,yī gài ér lùn,đánh đồng,7
一点儿,有一点儿,yǒu yī diǎnr,một chút,2
一线,第一线,dì yī xiàn,tiền tuyến,7
一般,一般来说,yī bān lái shuō,nói chung,4
一行,一言一行,yī yán yī xíng,mỗi lời nói và hành động,7
一路,一路平安,yī lù píng'ān,Thượng lộ bình an,2
一路,一路顺风,yī lù shùn fēng,thượng lộ bình an,2
一路,一路上,yī lù shàng,trên đường,6
一连,一连串,yī lián chuàn,chuỗi,7
丁,尼古丁,ní gǔ dīng,Nicotine,4
丁,沙丁鱼,shā dīng yú,cá mòi,5
七,七嘴八舌,qī zuǐ bā shé,nói như bắn liên thanh,7
七,乱七八糟,luàn qī bā zāo,lộn xộn,7
七,横七竖八,héng qī shù bā,bừa bộn,7
七,七荤八素,qī hūn bā sù,"rối tinh rối mù, lộn xộn",8
万,万幸,wàn xìng,"May mắn thay, may mắn tột cùng, thật may mắn.",2
万,千万,qiān wàn,nhất định,2
万,万一,wàn yī,trong trường hợp,4
万,万丈,wàn zhàng,"rất cao, rất sâu, vạn trượng",5
万,万分,wàn fēn,rất nhiều,6
万,万万,wàn wàn,tuyệt đối,7
万,万能,wàn néng,vạn năng,7
万,万古长青,wàn gǔ cháng qīng,mãi mãi tươi mới,7
万,万无一失,wàn wú yī shī,hoàn toàn an toàn,7
万,十万火急,shí wàn huǒ jí,"Khẩn cấp, cực kỳ khẩn cấp, vô cùng cấp bách",7
万,千军万马,qiān jūn wàn mǎ,hàng ngàn binh mã,7
万,千变万化,qiān biàn wàn huà,thay đổi vô tận,7
万,千家万户,qiān jiā wàn hù,mọi nhà,7
万,成千上万,chéng qiān shàng wàn,hàng ngàn,7
万,鹏程万里,péng chéng wàn lǐ,tương lai sáng lạn,7
丈,丈夫,zhàng fu,chồng,2
丈,万丈,wàn zhàng,"rất cao, rất sâu, vạn trượng",5
三,星期三,xīng qī sān,thứ Tư,1
