row_type	library_group_id	library_group_name	deck_id	deck_name	deck_description	content_group_id	content_group_title	order	speaker	hanzi	pinyin	meaning	word_type	sentence_type	tokens	tags	enabled
deck			nghe-tong-hop-01	Bộ nghe tổng hợp	Một bộ có đủ từ, câu, hội thoại và đoạn văn												1
word			nghe-tong-hop-01	Bộ nghe tổng hợp						你好	nǐ hǎo	xin chào	động từ			chào hỏi	1
word			nghe-tong-hop-01	Bộ nghe tổng hợp						认识	rènshi	quen, biết	động từ			làm quen	1
word			nghe-tong-hop-01	Bộ nghe tổng hợp						高兴	gāoxìng	vui	tính từ			cảm xúc	1
word			nghe-tong-hop-01	Bộ nghe tổng hợp						名字	míngzi	tên	danh từ			giới thiệu	1
sentence			nghe-tong-hop-01	Bộ nghe tổng hợp						我叫李文。	Wǒ jiào Lǐ Wén.	Tôi tên là Lý Văn.		example	我|叫|李文	giới thiệu	1
sentence			nghe-tong-hop-01	Bộ nghe tổng hợp						认识你很高兴。	Rènshi nǐ hěn gāoxìng.	Rất vui được biết bạn.		example	认识|你|很|高兴	làm quen	1
dialogue_turn			nghe-tong-hop-01	Bộ nghe tổng hợp		dialogue-01	Làm quen	1	A	你好！	Nǐ hǎo!	Xin chào!		dialogue	你好	hội thoại	1
dialogue_turn			nghe-tong-hop-01	Bộ nghe tổng hợp		dialogue-01	Làm quen	2	B	你好！你叫什么名字？	Nǐ hǎo! Nǐ jiào shénme míngzi?	Xin chào! Bạn tên là gì?		dialogue	你好|你|叫|什么|名字	hội thoại	1
dialogue_turn			nghe-tong-hop-01	Bộ nghe tổng hợp		dialogue-01	Làm quen	3	A	我叫李文。	Wǒ jiào Lǐ Wén.	Tôi tên là Lý Văn.		dialogue	我|叫|李文	hội thoại	1
passage_sentence			nghe-tong-hop-01	Bộ nghe tổng hợp		passage-01	Bạn mới	1		我叫李文。	Wǒ jiào Lǐ Wén.	Tôi tên là Lý Văn.		passage	我|叫|李文	đoạn văn	1
passage_sentence			nghe-tong-hop-01	Bộ nghe tổng hợp		passage-01	Bạn mới	2		王明也认识我。	Wáng Míng yě rènshi wǒ.	Vương Minh cũng quen tôi.		passage	王明|也|认识|我	đoạn văn	1
passage_sentence			nghe-tong-hop-01	Bộ nghe tổng hợp		passage-01	Bạn mới	3		我们都很高兴。	Wǒmen dōu hěn gāoxìng.	Chúng tôi đều rất vui.		passage	我们|都|很|高兴	đoạn văn	1
deck			chi-tu-vung	Chỉ từ vựng	Bộ chỉ có từ vựng												1
word			chi-tu-vung	Chỉ từ vựng						老师	lǎoshī	giáo viên	danh từ			trường học	1
word			chi-tu-vung	Chỉ từ vựng						学生	xuésheng	học sinh	danh từ			trường học	1
word			chi-tu-vung	Chỉ từ vựng						学校	xuéxiào	trường học	danh từ			trường học	1
word			chi-tu-vung	Chỉ từ vựng						学习	xuéxí	học tập	động từ			trường học	1
deck			chi-cau	Chỉ câu	Bộ chỉ có câu												1
