target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
一,yī,một,resolved,一,Bộ Nhất,self-radical,4
丁,dīng,thứ tư,not-resolved,,,not-resolved,0
七,qī,bảy,not-resolved,,,not-resolved,0
万,wàn,Mười ngàn,not-resolved,,,not-resolved,0
丈,zhàng,"đơn vị đo chiều dài, bằng mười thước Trung Quốc (3,3 m); đo lường",resolved,十,Bộ Thập,record-radical,2
三,sān,ba,not-resolved,,,not-resolved,0
上,shàng,trên,not-resolved,,,not-resolved,0
下,xià,sau,not-resolved,,,not-resolved,0
不,bù,không,not-resolved,,,not-resolved,0
与,yǔ,"và, với",not-resolved,,,not-resolved,0
丐,gài,ăn xin; người ăn xin,not-resolved,,,not-resolved,0
丑,Chǒu,họ [Chou3],not-resolved,,,not-resolved,0
专,zhuān,"cho một người, dịp, mục đích cụ thể; tập trung vào một việc",not-resolved,,,not-resolved,0
且,qiě,thậm chí,not-resolved,,,not-resolved,0
世,Shì,họ [Shi4],not-resolved,,,not-resolved,0
丘,Qiū,họ [Qiu1],not-resolved,,,not-resolved,0
丙,bǐng,thứ ba,not-resolved,,,not-resolved,0
业,yè,ngành công nghiệp,not-resolved,,,not-resolved,0
丛,cóng,"bụi, cụm",resolved,一,Bộ Nhất,record-radical,4
东,dōng,đông,not-resolved,,,not-resolved,0
丝,sī,sợi,resolved,糸,Bộ Mịch,record-radical,24
丢,diū,"đánh rơi, mất",resolved,一,Bộ Nhất,record-radical,4
两,liǎng,hai,not-resolved,,,not-resolved,0
严,yán,nghiêm khắc,not-resolved,,,not-resolved,0
丧,sāng,đồ tang; đám tang,not-resolved,,,not-resolved,0
丨,shù,Bộ cổn,resolved,丨,"Bộ Thụ, Cổn",self-radical,1
个,gè,"miếng, đơn vị (một từ để đo)",not-resolved,,,not-resolved,0
丫,yā,nhánh; rẽ,not-resolved,,,not-resolved,0
中,zhōng,trong,not-resolved,,,not-resolved,0
丰,fēng,sum suê; đẫy đà,not-resolved,,,not-resolved,0
串,chuàn,chuỗi,not-resolved,,,not-resolved,0
临,lín,sắp,not-resolved,,,not-resolved,0
丶,zhǔ,"Phàm cái gì cần có phân biệt, sự gì cần biết nên chăng, lòng đã có định, thì đánh dấu chữ ""chủ"" để nhớ lấy",resolved,丶,Bộ Chủ,self-radical,0
丸,wán,viên thuốc,not-resolved,,,not-resolved,0
丹,dān,đỏ; viên thuốc,not-resolved,,,not-resolved,0
为,wèi,cho,resolved,又,Bộ Hựu,record-radical,17
主,zhǔ,"quản lý, chịu trách nhiệm",not-resolved,,,not-resolved,0
丽,Lí,Hàn Quốc,not-resolved,,,not-resolved,0
