target,type,pinyin,meaning,levels,libraries,radicalStatus,radical,relatedCount,collocationCount,sentenceCount,grammarCount,componentCount,hasMemory
一,single-character,yī,một,"1,2,3,4","boya,new_hsk,yct",resolved,一,15,10,10,4,0,True
一一,multi-character-word,yī yī,từng cái một,"4,7","boya,new_hsk",,,0,3,7,2,2,True
一下,multi-character-word,yī xià,một lát,"1,2","boya,hsk,new_hsk",,,2,10,10,4,2,True
一下儿,multi-character-word,yī xiàr,"một lúc, một lần","1,4","new_hsk,yct",,,0,0,1,0,0,True
一下子,multi-character-word,yī xià zi,bất thình lình,2,boya,,,0,4,6,0,3,True
一不小心,multi-character-word,yī bù xiǎo xīn,vô tình,7,new_hsk,,,0,3,4,0,4,True
一个劲儿,multi-character-word,yī gè jìnr,liên tục,7,new_hsk,,,0,3,4,0,4,True
一举,multi-character-word,yī jǔ,một lần,7,new_hsk,,,2,9,10,0,2,True
一举一动,multi-character-word,yī jǔ yī dòng,mỗi cử động,7,new_hsk,,,0,4,4,0,4,True
一举两得,multi-character-word,yī jǔ liǎng dé,một mũi tên trúng hai đích,6,hsk,,,0,3,6,0,4,True
一事无成,multi-character-word,yī shì wú chéng,không đạt được gì,7,new_hsk,,,0,2,4,0,4,True
一些,multi-character-word,yì xiē,một vài,"1,2","boya,new_hsk",,,0,1,10,4,2,True
一代,multi-character-word,yī dài,kỷ nguyên,6,new_hsk,,,1,6,10,0,2,True
一会儿,multi-character-word,yī huìr,"một lát, một chốc, một lúc","1,2,3,4","boya,hsk,new_hsk,yct",,,1,3,9,4,0,True
一体,multi-character-word,yī tǐ,một tổng thể,7,new_hsk,,,0,4,5,0,2,True
一共,multi-character-word,yī gòng,tổng cộng,"1,2,3,4","boya,hsk,new_hsk,yct",,,0,0,0,0,2,True
一再,multi-character-word,yī zài,nhiều lần,"4,5","hsk,new_hsk",,,0,0,1,0,0,True
一切,multi-character-word,yī qiè,tất cả,"2,3,4","boya,hsk,new_hsk",,,0,8,10,0,2,True
一刹那,multi-character-word,yī chà nà,khoảnh khắc,"7,8","boya,new_hsk",,,0,5,3,0,3,True
一动不动,multi-character-word,yīdòngbùdòng,bất động,7,new_hsk,,,0,0,1,0,4,True
一半,multi-character-word,yī bàn,một nửa,1,new_hsk,,,0,2,5,0,2,True
一卡通,multi-character-word,yī kǎ tōng,thẻ toàn năng,7,new_hsk,,,0,4,4,0,3,True
一同,multi-character-word,yī tóng,cùng lúc và cùng chỗ,6,new_hsk,,,0,4,7,0,2,True
一向,multi-character-word,yī xiàng,luôn luôn,"4,6","boya,hsk",,,0,2,8,0,2,True
一味,multi-character-word,yī wèi,mù quáng,7,"boya,new_hsk",,,0,5,6,0,2,True
一回事,multi-character-word,yī huí shì,một và giống nhau,7,new_hsk,,,0,2,4,0,3,True
一块儿,multi-character-word,yī kuàir,"Cùng nhau, cùng một chỗ","2,3","boya,new_hsk",,,0,1,3,0,0,True
一塌糊涂,multi-character-word,yī tā hú tú,một mớ hỗn độn,7,new_hsk,,,0,3,5,0,4,True
一声不吭,multi-character-word,yī shēng bù kēng,không thốt nên lời,7,new_hsk,,,0,3,4,0,4,True
一大早,multi-character-word,yī dà zǎo,sáng sớm,7,new_hsk,,,0,2,4,0,3,True
一天到晚,multi-character-word,yī tiān dào wǎn,cả ngày,7,new_hsk,,,0,1,3,0,4,True
一头,multi-character-word,yī tóu,một mặt,7,new_hsk,,,0,3,6,0,2,True
一如既往,multi-character-word,yī rú jì wǎng,như trước đây,"6,7","boya,hsk,new_hsk",,,0,3,4,0,4,True
一定,multi-character-word,yī dìng,nhất định,"1,2,3,4","boya,hsk,new_hsk,yct",,,1,1,10,4,2,True
一家人,multi-character-word,yī jiā rén,cả gia đình,7,new_hsk,,,0,1,5,0,3,True
一帆风顺,multi-character-word,yī fān fēng shùn,thuận buồm xuôi gió,7,new_hsk,,,0,3,4,0,0,True
一带,multi-character-word,yī dài,khu vực lân cận,3,boya,,,0,1,4,0,2,True
一干二净,multi-character-word,yī gān èr jìng,sạch bóng không còn gì,7,new_hsk,,,0,3,4,0,4,True
一年到头,multi-character-word,yī nián dào tóu,quanh năm,7,new_hsk,,,0,4,4,0,4,True
一应俱全,multi-character-word,yī yīng jù quán,đầy đủ mọi thứ cần thiết,7,new_hsk,,,0,4,4,0,4,True
一度,multi-character-word,yī dù,một lần,"6,7","hsk,new_hsk",,,0,4,4,0,2,True
