word,oldStatus,newStatus,compounds,collocations,sentences,grammar,reviewedRelations
后悔,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
启事,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
幽默,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
打包,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
打架,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
扮演,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
收拾,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
放弃,PARTIAL,PASS,0,0,1,1,0
暂时,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
浪漫,PARTIAL,PASS,0,0,1,1,0
清晨,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
漫画,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
组织,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
肌肉,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
警告,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
超越,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
迷信,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
钢琴,PARTIAL,PASS,1,0,0,0,0
面子,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
频繁,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
大熊猫,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
工作日,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
羽毛球,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
葡萄酒,PARTIAL,BLOCKED-NO-SUPPORTING-EVIDENCE,0,0,0,0,0
