sourceWord,targetWord,relationType,pinyin,meaningVi,evidence,source,reviewStatus
一下,以下,homophone,yǐ xià,dưới đây,exact normalized pinyin match in local HSK data,hsk_2.json,reviewed-local
一下,一会儿,same-short-meaning-candidate,yī huìr ,một lát,exact normalized Vietnamese short meaning: một lát,hsk_1.json,needs-review
一下,一会{儿},same-short-meaning-candidate,yī huìr ,một lát,exact normalized Vietnamese short meaning: một lát,hsk_1.json,needs-review
一切,所有,same-short-meaning-candidate,suǒ yǒu,tất cả,exact normalized Vietnamese short meaning: tất cả,hsk_2.json,needs-review
一定,千万,same-short-meaning-candidate,qiān wàn,nhất định,exact normalized Vietnamese short meaning: nhất định,hsk_2.json,needs-review
一生,医生,homophone,yī shēng,bác sĩ,exact normalized pinyin match in local HSK data,hsk_1.json,reviewed-local
一生,野生,homophone,yě shēng,hoang dã,exact normalized pinyin match in local HSK data,hsk_3.json,reviewed-local
一般,普通,same-short-meaning-candidate,pǔ tōng,thông thường,exact normalized Vietnamese short meaning: thông thường,hsk_2.json,needs-review
一起,一块儿,same-short-meaning-candidate,yī kuàir ,Cùng nhau,exact normalized Vietnamese short meaning: cùng nhau,hsk_2.json,needs-review
一起,一齐,same-short-meaning-candidate,yī qí,cùng nhau,exact normalized Vietnamese short meaning: cùng nhau,hsk_2.json,needs-review
一齐,一起,same-short-meaning-candidate,yī qǐ,cùng nhau,exact normalized Vietnamese short meaning: cùng nhau,hsk_1.json,needs-review
一齐,一块儿,same-short-meaning-candidate,yī kuàir ,Cùng nhau,exact normalized Vietnamese short meaning: cùng nhau,hsk_2.json,needs-review
上午,早上,same-short-meaning-candidate,zǎo shang,buổi sáng,exact normalized Vietnamese short meaning: buổi sáng,hsk_1.json,needs-review
上学,上课,same-short-meaning-candidate,shàng kè,đi học,exact normalized Vietnamese short meaning: đi học,hsk_1.json,needs-review
上课,上学,same-short-meaning-candidate,shàng xué,đi học,exact normalized Vietnamese short meaning: đi học,hsk_1.json,needs-review
上边,上面,same-short-meaning-candidate,shàng miàn,bên trên,exact normalized Vietnamese short meaning: bên trên,hsk_2.json,needs-review
上面,上边,same-short-meaning-candidate,shàng biān,bên trên,exact normalized Vietnamese short meaning: bên trên,hsk_1.json,needs-review
下去,下来,same-short-meaning-candidate,xià lái,đi xuống,exact normalized Vietnamese short meaning: đi xuống,hsk_2.json,needs-review
下来,下去,same-short-meaning-candidate,xià qu,đi xuống,exact normalized Vietnamese short meaning: đi xuống,hsk_2.json,needs-review
下边,下面,same-short-meaning-candidate,xià miàn,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_1.json,needs-review
下边,底下,same-short-meaning-candidate,dǐ xia,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_3.json,needs-review
下面,下边,same-short-meaning-candidate,xià biān,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_1.json,needs-review
下面,底下,same-short-meaning-candidate,dǐ xia,bên dưới,exact normalized Vietnamese short meaning: bên dưới,hsk_3.json,needs-review
不仅,不但,same-short-meaning-candidate,bù dàn,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_2.json,needs-review
不仅,不光,same-short-meaning-candidate,bù guāng,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_3.json,needs-review
不但,不光,same-short-meaning-candidate,bù guāng,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_3.json,needs-review
不但,不仅,same-short-meaning-candidate,bù jǐn,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_3.json,needs-review
不光,不但,same-short-meaning-candidate,bù dàn,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_2.json,needs-review
不光,不仅,same-short-meaning-candidate,bù jǐn,không chỉ,exact normalized Vietnamese short meaning: không chỉ,hsk_3.json,needs-review
不必,不一定,same-short-meaning-candidate,bù yī dìng,không nhất thiết,exact normalized Vietnamese short meaning: không nhất thiết,hsk_2.json,needs-review
不断,连续,same-short-meaning-candidate,lián xù,liên tục,exact normalized Vietnamese short meaning: liên tục,hsk_3.json,needs-review
不要,没有,same-short-meaning-candidate,méi yǒu,không,exact normalized Vietnamese short meaning: không,hsk_1.json,needs-review
不见,消失,same-short-meaning-candidate,xiāo shī,biến mất,exact normalized Vietnamese short meaning: biến mất,hsk_3.json,needs-review
不过,可是,same-short-meaning-candidate,kě shì,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_1.json,needs-review
不过,但是,same-short-meaning-candidate,dàn shì,nhưng,exact normalized Vietnamese short meaning: nhưng,hsk_2.json,needs-review
个子,身高,same-short-meaning-candidate,shēn gāo,chiều cao,exact normalized Vietnamese short meaning: chiều cao,hsk_3.json,needs-review
中学,初中,same-short-meaning-candidate,chū zhōng,trường trung học cơ sở,exact normalized Vietnamese short meaning: trường trung học cơ sở,hsk_1.json,needs-review
中文,汉语,same-short-meaning-candidate,hàn yǔ,tiếng Trung,exact normalized Vietnamese short meaning: tiếng Trung,hsk_1.json,needs-review
中间,当中,same-short-meaning-candidate,dāng zhōng,giữa,exact normalized Vietnamese short meaning: giữa,hsk_3.json,needs-review
