char,tier,pinyin,hanViet,meaningVi,radicalStatus,radical,radicalName,resolutionType,relatedCount,sentenceCount,hsk,source
㐄,C,kuà,,"thành phần trong chữ Hán, hình ảnh phản chiếu của 夂[zhi3]",not-resolved,,,not-resolved,0,0,7,chars/3404.json
㐅,C,wǔ,,biến thể cổ của 五[wu3],not-resolved,,,not-resolved,0,0,7,chars/3405.json
㐆,C,yǐn,,thành phần trong chữ Hán 殷[yin1],not-resolved,,,not-resolved,0,0,7,chars/3406.json
㐌,B,tā,,biến thể của 它[ta1],resolved,人,Bộ Nhân,record-radical,0,0,7,chars/340C.json
㐖,C,xié,,dùng trong 㐖毒[Xie2 du2],not-resolved,,,not-resolved,0,0,7,chars/3416.json
㐜,C,chóu,,biến thể của 仇[chou2],not-resolved,,,not-resolved,0,0,7,chars/341C.json
㐡,C,nuò,,biến thể cổ của 懦[nuo4],not-resolved,,,not-resolved,0,0,7,chars/3421.json
㐤,C,qiú,,biến thể cổ của 求[qiu2],not-resolved,,,not-resolved,0,0,7,chars/3424.json
㐫,C,xiōng,,biến thể cũ của 凶[xiong1],not-resolved,,,not-resolved,0,0,7,chars/342B.json
㐬,C,liú,,,not-resolved,,,not-resolved,0,0,,chars/342C.json
㐭,C,lǐn,,,not-resolved,,,not-resolved,0,0,,chars/342D.json
㐰,C,xìn,,biến thể cũ của 信[xin4],not-resolved,,,not-resolved,0,0,7,chars/3430.json
㐱,C,zhěn,,,resolved,彡,Bộ Sam,record-radical,0,0,,chars/3431.json
㐷,C,mà,Má,biến thể của 罵|骂[ma4],not-resolved,,,not-resolved,0,0,7,chars/3437.json
㐺,C,zhòng,,biến thể cũ của 眾|众[zhong4],not-resolved,,,not-resolved,0,0,7,chars/343A.json
㑇,C,zhòu,,(cũ) đẹp; thông minh,not-resolved,,,not-resolved,0,0,7,chars/3447.json
㑩,B,luó,,thông minh; lanh lợi,resolved,人,Bộ Nhân,record-radical,0,0,7,chars/3469.json
㒳,C,liǎng,,biến thể cũ của 兩|两[liang3],not-resolved,,,not-resolved,0,0,7,chars/34B3.json
㒸,B,suì,,biến thể cổ của 遂[sui4],resolved,八,Bộ Bát,record-radical,0,0,7,chars/34B8.json
㒼,C,mán,,,not-resolved,,,not-resolved,0,0,7,chars/34BC.json
