row_type,library_group_id,library_group_name,deck_id,deck_name,deck_description,card_id,hanzi,pinyin,meaning,enabled
card,,,mot-the,Thẻ nhập nhanh,Ví dụ chỉ một thẻ,card-001,你好,nǐ hǎo,xin chào,1
deck,,,bo-chao-hoi,Chào hỏi cơ bản,Một bộ có nhiều thẻ,,,,,1
card,,,bo-chao-hoi,Chào hỏi cơ bản,,card-hello,你好,nǐ hǎo,xin chào,1
card,,,bo-chao-hoi,Chào hỏi cơ bản,,card-thanks,谢谢,xièxie,cảm ơn,1
card,,,bo-chao-hoi,Chào hỏi cơ bản,,card-bye,再见,zàijiàn,tạm biệt,1
group,nhom-truong-hoc,Trường học,,,,,,,,1
deck,nhom-truong-hoc,Trường học,bo-con-nguoi,Con người,Bộ thứ nhất,,,,,1
card,nhom-truong-hoc,Trường học,bo-con-nguoi,Con người,,card-teacher,老师,lǎoshī,giáo viên,1
card,nhom-truong-hoc,Trường học,bo-con-nguoi,Con người,,card-student,学生,xuésheng,học sinh,1
deck,nhom-truong-hoc,Trường học,bo-dia-diem,Địa điểm,Bộ thứ hai,,,,,1
card,nhom-truong-hoc,Trường học,bo-dia-diem,Địa điểm,,card-school,学校,xuéxiào,trường học,1
card,nhom-truong-hoc,Trường học,bo-dia-diem,Địa điểm,,card-class,教室,jiàoshì,phòng học,1
