char,hskLevels,pinyin,meaningVi,inputRadical,status,source,candidateIds
七,"1,2,3",qī,bảy,,not-found,none,
三,"1,2,3",sān,ba,,not-found,none,
东,"1,3",dōng,đông,,not-found,none,
两,"1,2,3",liǎng,hai,,not-found,none,
个,"1,2,3",gè,"miếng, đơn vị",,not-found,none,
九,"1,2,3",jiǔ,chín,,not-found,none,
也,"1,2,3",yě,cũng,,not-found,none,
了,"1,2",le,"trợ từ ""le""",,not-found,none,
五,"1,2,3",wǔ,năm,,not-found,none,
些,"1,3",xiē,một vài,此,not-found,none,
从,"1,2",cóng,từ,,not-found,none,
元,"1,3",yuán,nhân dân tệ,,not-found,none,
六,"1,2,3",liù,sáu,,not-found,none,
别,"1,2,3",bié,đừng,冎,not-found,none,
包,"1,2,3",bāo,gói,,not-found,none,
卖,"1,2,3",mài,bán,出,not-found,none,
南,"1,2",nán,nam,,not-found,none,
只,"1,2,3",zhǐ,chỉ,,not-found,none,
四,"1,2,3",sì,bốn,,not-found,none,
回,"1,2,3",huí,trở về,,not-found,none,
多,"1,2,3",duō,nhiều,,not-found,none,
天,1,tiān,ngày,◎,not-found,none,
它,"1,2,3",tā,nó,,not-found,none,
少,"1,3",shǎo,ít,,not-found,none,
就,"1,2,3",jiù,ngay lập tức,京,not-found,none,
才,"1,2,3",cái,chỉ,,not-found,none,
拿,"1,2,3",ná,"lấy, giữ, mang",合,not-found,none,
是,"1,2,3",shì,là,旦,not-found,none,
最,"1,2,3",zuì,nhất,冃,not-found,none,
来,"1,2,3",lái,đến,,not-found,none,
正,"1,2,3",zhèng,chính xác,◎,not-found,none,
每,"1,2,3",měi,mỗi,◎,not-found,none,
爱,"1,2,3",ài,yêu,友,not-found,none,
玩,"1,2,3",wán,chơi với,𤣩,not-found,none,
班,"1,2,3",bān,ca làm việc,玨,not-found,none,
球,"1,2",qiú,quả bóng,𤣩,not-found,none,
电,"1,3",diàn,điện,,not-found,none,
祝,"1,3",zhù,chúc,礻,not-found,none,
票,"1,2,3",piào,vé,覀,not-found,none,
笑,"1,2,3",xiào,cười,⺮,not-found,none,
等,"1,2,3",děng,đợi,⺮,not-found,none,
累,"1,2,3",lèi,mệt mỏi,,not-found,none,
能,"1,3",néng,có thể,◎,not-found,none,
西,"1,3",xī,tây,,not-found,none,
要,"1,2,3",yào,nếu,覀,not-found,none,
贵,"1,2,3",guì,đắt,◎,not-found,none,
那,"1,2,3",nà,đó,⻏,not-found,none,
都,"1,2,3",dōu,tất cả,⻏,not-found,none,
长,"1,2,3",cháng,dài,,not-found,none,
风,"1,3",fēng,gió,凡,not-found,none,
飞,"1,2",fēi,bay,,not-found,none,
黄,"1,2,3",huáng,vàng,,not-found,none,
万,"2,3",wàn,Mười ngàn,,not-found,none,
云,2,yún,mây,,not-found,none,
交,2,jiāo,giao,,not-found,none,
克,2,kè,gam,◎,not-found,none,
匾,2,biǎn,"biển hiệu, hoành phi",,not-found,none,
发,"2,3",fā,gửi,,not-found,none,
哭,"2,3",kū,khóc,吅,not-found,none,
平,2,píng,phẳng,,not-found,none,
离,"2,3",lí,từ,,not-found,none,
笔,2,bǐ,Bút,⺮,not-found,none,
算,2,suàn,xem như,⺮,not-found,none,
篇,2,piān,chương,,not-found,none,
脚,"2,3",jiǎo,bàn chân,⺼,not-found,none,
脱,2,tuō,cởi,⺼,not-found,none,
脸,"2,3",liǎn,mặt,⺼,not-found,none,
腿,"2,3",tuǐ,chân,⺼,not-found,none,
部,"2,3",bù,quyển,阝,ambiguous,hsk-component,"ap_163,phu_170"
队,2,duì,"đội, nhóm",阝,ambiguous,char-local,"ap_163,phu_170"
阴,"2,3",yīn,u ám,阝,ambiguous,char-local,"ap_163,phu_170"
院,2,yuàn,viện,阝,ambiguous,char-local,"ap_163,phu_170"
陪,2,péi,đi cùng,阝,ambiguous,char-local,"ap_163,phu_170"
飘,2,piāo,bay lượn trong không khí,风,not-found,none,
龙,"2,3",lóng,rồng,,not-found,none,
久,3,jiǔ,"lâu, đã lâu",,not-found,none,
断,3,duàn,bẻ gãy,◎,not-found,none,
环,3,huán,bao quanh,王,not-found,none,
直,3,zhí,thẳng,◎,not-found,none,
福,3,fú,hạnh phúc,礻,not-found,none,
管,3,guǎn,ống,⺮,not-found,none,
者,3,zhě,người đó,,not-found,none,
贬,3,biǎn,Giáng chức,,not-found,none,
防,3,fáng,phòng thủ,阝,ambiguous,char-local,"ap_163,phu_170"
齐,3,qí,gọn gàng,,not-found,none,
