word,hsk,charCount,pinyin,meaningShortVi,meaningFullVi,compounds,collocations,collocationsWithSentences,linkedCollocationSentences,sentences,grammar,reviewedRelations,candidateRelations,oldStatus,newStatus
T恤,2,2,<tì>xù,áo phông,"áo phông, áo thun",0,0,0,0,2,1,0,0,PASS,PASS
一下,1,2,yī xià,một lát,một lát; một chút,2,2,2,4,12,9,1,2,PASS,PASS
一些,1,2,yì xiē,một vài,"một ít, một số",0,0,0,0,6,5,0,0,PASS,PASS
一共,1,2,yī gòng,tổng cộng,tổng cộng,0,2,0,0,2,1,0,0,PASS,PASS
一切,2,2,yī qiè,tất cả,tất cả; mọi thứ; toàn bộ,0,2,0,0,2,1,0,1,PASS,PASS
一半,1,2,yī bàn,một nửa,một nửa,0,0,0,0,3,1,0,0,PASS,PASS
一定,1,2,yī dìng,nhất định,nhất định,1,2,1,2,10,8,0,1,PASS,PASS
一带,3,2,yī dài,khu vực lân cận,"Khu vực lân cận, vùng, dải đất",0,0,0,0,3,1,0,0,PASS,PASS
一样,1,2,yī yàng,giống nhau,giống nhau,1,3,3,5,9,8,0,0,PASS,PASS
一生,2,2,yī shēng,cả đời,cả đời,0,1,0,0,2,1,2,0,PASS,PASS
一直,1,2,yī zhí,thẳng,thẳng,0,1,1,3,4,6,0,0,PASS,PASS
一般,1,2,yī bān,thông thường,thông thường,1,1,1,3,3,3,0,1,PASS,PASS
一起,1,2,yī qǐ,cùng nhau,chung với nhau,0,3,3,5,10,7,0,2,PASS,PASS
一边,1,2,yī biān,một bên,một bên; một phía; vừa... vừa... (làm đồng thời hai việc),0,3,0,0,8,4,0,0,PASS,PASS
一齐,2,2,yī qí,cùng nhau,"đồng loạt, đồng thời, một lúc (tất cả cùng hành động vào một thời điểm)",0,2,0,0,4,1,0,2,PASS,PASS
万幸,2,2,wàn xìng,May mắn thay,"May mắn thay, may mắn tột cùng, thật may mắn.",0,0,0,0,2,1,0,0,PASS,PASS
丈夫,2,2,zhàng fu,chồng,chồng,0,0,0,0,1,2,0,0,PASS,PASS
上升,3,2,shàng shēng,tăng lên,"tăng lên, đi lên",0,2,1,1,3,2,0,0,PASS,PASS
上午,1,2,shàng wǔ,buổi sáng,buổi sáng,0,4,3,5,9,4,0,1,PASS,PASS
上去,2,2,shàng qu,lên,"lên trên, đi lên",1,2,2,3,5,5,0,0,PASS,PASS
上周,2,2,shàng zhōu,tuần trước,tuần trước,0,2,0,0,2,1,0,0,PASS,PASS
上学,1,2,shàng xué,đi học,đi học,0,2,1,1,3,1,0,1,PASS,PASS
上来,2,2,shàng lái,đi lên,"lên đây, đến đây",0,2,1,2,3,2,0,0,PASS,PASS
上次,1,2,shàng cì,lần trước,lần trước,0,1,1,3,4,2,0,0,PASS,PASS
上班,1,2,shàng bān,đi làm,"đi làm, bắt đầu ca làm việc",0,2,1,2,8,4,0,0,PASS,PASS
上网,1,2,shàng wǎng,lướt web,"lướt web, lên mạng (sử dụng Internet)",0,4,1,1,4,1,0,0,PASS,PASS
上衣,3,2,shàng yī,áo ngoài,áo; áo trên; áo ngoài,0,2,0,0,2,1,0,0,PASS,PASS
上课,1,2,shàng kè,đi học,"vào lớp, lên lớp",0,1,0,0,8,7,0,1,PASS,PASS
上车,1,2,shàng chē,lên xe,lên xe,0,2,0,0,4,2,0,0,PASS,PASS
上边,1,2,shàng biān,bên trên,"bên trên, phía trên",0,2,0,0,2,1,0,1,PASS,PASS
上述,3,2,shàng shù,nêu trên,"nêu trên, đã nêu ở trên (dùng trong văn viết để refer lại nội dung trước)",0,3,3,3,4,1,0,0,PASS,PASS
上面,2,2,shàng miàn,bên trên,"bên trên; phía trên; cấp trên; nói trên, ở trên",0,1,0,0,3,2,0,1,PASS,PASS
下午,1,2,xià wǔ,buổi chiều,buổi chiều,0,4,3,5,11,7,0,0,PASS,PASS
下去,2,2,xià qu,đi xuống,"xuống, đi xuống",0,2,2,3,7,7,0,1,PASS,PASS
下周,2,2,xià zhōu,tuần tới,tuần tới,0,1,0,0,2,2,0,0,PASS,PASS
下来,2,2,xià lái,đi xuống,"xuống đây, xuống",1,2,1,1,8,8,0,1,PASS,PASS
下棋,2,2,xià qí,chơi cờ,chơi cờ,0,0,0,0,0,1,0,0,PASS,PASS
下次,1,2,xià cì,lần sau,lần sau,0,2,1,2,3,1,0,0,PASS,PASS
下班,1,2,xià bān,tan làm,"tan làm, kết thúc ca làm việc",0,2,0,0,7,3,0,0,PASS,PASS
下课,1,2,xià kè,kết thúc lớp học,"tan học, tan lớp",0,0,0,0,6,4,0,0,PASS,PASS
下车,1,2,xià chē,xuống xe,xuống xe,0,1,1,3,3,1,0,0,PASS,PASS
下边,1,2,xià biān,bên dưới,bên dưới,0,2,0,0,4,2,0,2,PASS,PASS
下雨,1,2,xià yǔ,mưa rơi,"trời mưa, mưa rơi",0,0,0,0,13,10,0,0,PASS,PASS
下雪,2,2,xià xuě,tuyết rơi,hạ tuyết,0,2,0,0,5,3,0,0,PASS,PASS
下面,1,2,xià miàn,bên dưới,"bên dưới, phía dưới; phần dưới, cấp dưới",0,1,0,0,4,3,0,2,PASS,PASS
不久,2,2,bù jiǔ,sắp tới,sắp tới,0,2,0,0,2,1,0,0,PASS,PASS
不仅,3,2,bù jǐn,không chỉ,"không chỉ, không những; không những... mà còn",1,2,0,0,5,3,0,2,PASS,PASS
不但,2,2,bù dàn,không chỉ,không chỉ,0,1,0,0,3,2,0,2,PASS,PASS
不停,1,2,bù tíng,không ngừng,"không ngừng, không ngớt, liên tục",0,3,1,3,3,1,0,0,PASS,PASS
不光,3,2,bù guāng,không chỉ,không chỉ là; không những,0,2,0,0,2,1,0,2,PASS,PASS
不同,1,2,bù tóng,khác biệt,khác biệt,0,1,1,3,3,2,0,0,PASS,PASS
不够,2,2,bù gòu,không đủ,bất cú,0,3,3,4,4,2,0,0,PASS,PASS
不大,1,2,bù dà,không lớn,"không lớn, hơi nhỏ",0,2,1,1,3,2,0,0,PASS,PASS
不太,1,2,bù tài,không quá,bất thái,0,2,0,0,6,6,0,0,PASS,PASS
不如,2,2,bù rú,không bằng,không bằng,0,2,0,0,7,6,0,0,PASS,PASS
不妥,3,2,bù tuǒ,Không ổn,"Không ổn, không thỏa đáng, không phù hợp",0,0,0,0,2,1,0,0,PASS,PASS
不安,3,2,bù'ān,bất an,"Bất an, lo âu, không yên tâm",0,3,1,2,3,1,0,0,PASS,PASS
不对,1,2,bù duì,sai,"không đúng, sai",0,2,0,0,2,1,0,0,PASS,PASS
不少,2,2,bù shǎo,không ít,bất thiểu,0,3,2,3,8,6,0,0,PASS,PASS
不屈,3,2,bù qū,Bất khuất,"Bất khuất, không chịu khuất phục",0,0,0,0,2,1,0,0,PASS,PASS
不屑,3,2,bù xiè,không đáng,"Bất tiết — khinh thường, không thèm, coi là không xứng đáng để quan tâm. Thể hiện thái độ khinh bỉ hoặc tự cao.",0,3,2,2,4,1,0,0,PASS,PASS
不必,3,2,bù bì,không nhất thiết,"không cần, không nhất thiết",0,0,0,0,0,1,0,1,PASS,PASS
不断,3,2,bù duàn,liên tục,"Liên tục, không ngừng",0,3,1,1,3,1,0,1,PASS,PASS
不满,2,2,bù mǎn,bất mãn,bất mãn,0,2,1,1,3,1,0,0,PASS,PASS
不用,1,2,bù yòng,không cần,không cần; không phải; không dùng,1,3,2,2,5,1,0,0,PASS,PASS
不管,2,2,bù guǎn,bất kể,"bất kể, dù cho, không quản",0,2,0,0,5,4,0,0,PASS,PASS
不行,2,2,bù xíng,không được,không được,0,2,0,0,1,1,0,0,PASS,PASS
不要,1,2,bù yào,không,không,1,2,0,0,12,10,0,1,PASS,PASS
不见,3,2,bù jiàn,biến mất,biến mất,1,1,1,1,3,1,0,1,PASS,PASS
不论,3,2,bù lùn,không kể,"không kể, bất kể; không nói đến",0,2,0,0,2,1,0,0,PASS,PASS
不过,1,2,bù guò,nhưng,bất quá,0,2,0,0,4,4,0,2,PASS,PASS
不错,1,2,bù cuò,khá tốt,khá tốt; không tồi,0,1,0,0,5,4,0,0,PASS,PASS
专业,1,2,zhuān yè,chuyên nghiệp,"Chuyên nghiệp, chuyên môn",0,3,2,3,4,2,0,0,PASS,PASS
专家,3,2,zhuān jiā,chuyên gia,Chuyên gia,0,3,1,1,3,1,0,0,PASS,PASS
专门,2,2,zhuān mén,chuyên môn,chuyên môn; chuyên biệt; đặc biệt,0,2,1,1,2,1,0,0,PASS,PASS
专题,3,2,zhuān tí,chủ đề đặc biệt,chủ đề đặc biệt,0,2,0,0,2,1,0,0,PASS,PASS
世界,2,2,shì jiè,thế giới,thế giới,1,2,1,1,3,2,0,0,PASS,PASS
东北,1,2,Dōng běi,Đông Bắc,Đông Bắc,0,1,1,2,2,1,0,0,PASS,PASS
东南,1,2,dōng nán,đông nam,đông nam,1,2,0,0,1,1,0,0,PASS,PASS
东方,2,2,dōng fāng,phương đông,phương đông,0,1,1,1,1,1,0,0,PASS,PASS
东西,1,2,dōng xi,đồ,"đồ đạc, vật",0,3,3,6,10,7,0,0,PASS,PASS
东边,1,2,dōng biān,phía đông,"phía đông, bên đông",0,3,1,1,4,1,0,0,PASS,PASS
东部,3,2,dōng bù,phần phía đông,"khu vực phía đông, vùng phía đông",0,2,0,0,2,1,0,0,PASS,PASS
严肃,2,2,yán sù,nghiêm túc,"nghiêm túc, trang trọng, nghiêm khắc",0,0,0,0,4,2,0,0,PASS,PASS
个人,3,2,gè rén,cá nhân,cá nhân; từng người; mỗi người,0,2,1,2,12,10,0,0,PASS,PASS
个子,1,2,gè zi,chiều cao,chiều cao,0,2,2,2,4,3,0,1,PASS,PASS
个性,3,2,gè xìng,cá tính,"cá tính, tính cách riêng; đặc trưng riêng",0,2,0,0,2,1,0,0,PASS,PASS
中介,2,2,zhōng jiè,đại lý,trung + giới (đại lý),0,0,0,0,3,1,0,0,PASS,PASS
中医,2,2,zhōng yī,y học cổ truyền Trung Quốc,y học cổ truyền Trung Hoa,0,0,0,0,2,1,0,0,PASS,PASS
中午,1,2,zhōng wǔ,buổi trưa,buổi trưa,0,4,4,5,6,2,0,0,PASS,PASS
中和,3,2,zhōng hé,trung hòa,trung hòa,0,0,0,0,2,1,0,0,PASS,PASS
中国,1,2,Zhōng guó,Trung Quốc,Trung Quốc (nước Trung Hoa),1,4,3,7,20,10,0,0,PASS,PASS
中学,1,2,zhōng xué,trường trung học cơ sở,trung học,2,2,1,1,2,1,0,1,PASS,PASS
中年,2,2,zhōng nián,trung niên,trung niên,0,2,1,1,2,1,0,0,PASS,PASS
中心,1,2,zhōng xīn,trung tâm,trung tâm,1,2,1,1,2,1,0,0,PASS,PASS
中指,2,2,zhōng zhǐ,ngón giữa,ngón giữa,0,0,0,0,2,1,0,0,PASS,PASS
中文,1,2,zhōng wén,tiếng Trung,tiếng Trung (chữ viết),0,3,3,8,14,10,0,1,PASS,PASS
中级,2,2,zhōng jí,trung cấp,trung cấp,0,2,2,2,3,1,0,0,PASS,PASS
中部,3,2,zhōng bù,phần trung tâm,"khu vực trung tâm, phần giữa",0,1,0,0,2,1,0,0,PASS,PASS
中间,1,2,zhōng jiān,giữa,"ở giữa, trung gian",0,3,0,0,3,1,0,1,PASS,PASS
中餐,2,2,zhōng cān,ẩm thực Trung Quốc,trung xan,0,1,1,1,2,1,0,0,PASS,PASS
丰富,2,2,fēng fù,phong phú,phong phú; dồi dào; nhiều,0,2,0,0,2,1,0,1,PASS,PASS
丰满,3,2,fēng mǎn,đầy đặn,"đầy đặn, mập mạp, sung sức",0,3,2,2,3,1,0,0,PASS,PASS
丰盛,3,2,fēng shèng,thịnh soạn,"thịnh soạn, phong phú, dồi dào (về bữa ăn hoặc lễ vật)",0,3,0,0,4,1,0,0,PASS,PASS
为了,2,2,wèi le,để,Để - chỉ mục đích hoặc lý do của một hành động.,0,3,0,0,7,5,0,0,PASS,PASS
主人,2,2,zhǔ rén,chủ nhân,chủ nhân,0,1,0,0,2,1,0,0,PASS,PASS
主任,3,2,zhǔ rèn,trưởng ban,"trưởng ban, người phụ trách",1,2,1,1,2,1,0,0,PASS,PASS
主动,3,2,zhǔ dòng,chủ động,"Chủ động, tích cực",0,2,0,0,3,1,0,0,PASS,PASS
主导,3,2,zhǔ dǎo,dẫn dắt,"Đóng vai trò chính, chi phối, định hướng; dẫn dắt",0,0,0,0,3,1,1,2,PASS,PASS
主张,3,2,zhǔ zhāng,quan điểm,"chủ trương, quan điểm",0,0,0,0,0,1,0,2,PASS,PASS
主意,1,2,zhǔ yì,ý kiến,"chủ ý, ý kiến, kế hoạch; ý tưởng hoặc quyết định mà một người đã nghĩ ra",0,2,1,1,3,2,0,0,PASS,PASS
主持,3,2,zhǔ chí,dẫn chương trình,"chủ trì, dẫn chương trình; quản lý",1,2,1,1,2,1,1,0,PASS,PASS
主要,2,2,zhǔ yào,chính,chính,0,2,1,1,2,1,1,0,PASS,PASS
举办,2,2,jǔ bàn,tổ chức,"Tổ chức (hoạt động, sự kiện)",0,2,0,0,2,1,0,2,PASS,PASS
举动,3,2,jǔ dòng,hành động,"cử chỉ, hành động (cụ thể, có thể quan sát được — thường chỉ hành vi của người)",0,2,0,0,4,1,0,1,PASS,PASS
举手,2,2,jǔ shǒu,giơ tay,cử thủ,0,2,0,0,2,1,0,0,PASS,PASS
举行,2,2,jǔ xíng,tổ chức,tổ chức,0,1,1,1,2,1,0,2,PASS,PASS
乌鸦,3,2,wū yā,Quạ,Quạ,0,0,0,0,2,1,1,0,PASS,PASS
乌龟,2,2,wū guī,rùa,rùa,0,0,0,0,2,1,0,0,PASS,PASS
乐观,3,2,lè guān,lạc quan,Lạc quan,0,3,2,2,3,1,0,0,PASS,PASS
乐队,3,2,yuè duì,ban nhạc,Ban nhạc,0,2,0,0,2,1,0,0,PASS,PASS
乔木,3,2,qiáo mù,cây thân gỗ,"cây thân gỗ, cây to",0,0,0,0,2,1,0,0,PASS,PASS
也许,1,2,yě xǔ,có lẽ,có lẽ,0,1,1,3,3,2,0,0,PASS,PASS
习惯,1,2,xí guàn,thói quen,thói quen,0,1,0,0,3,2,0,1,PASS,PASS
书包,1,2,shū bāo,cặp sách,cặp sách,0,2,2,2,5,3,0,0,PASS,PASS
书店,1,2,shū diàn,hiệu sách,hiệu sách,0,2,0,0,4,2,0,0,PASS,PASS
书架,3,2,shū jià,giá sách,giá sách,0,0,0,0,0,1,1,0,PASS,PASS
了解,2,2,liǎo jiě,hiểu rõ,hiểu rõ,0,1,1,3,5,4,0,0,PASS,PASS
争取,3,2,zhēng qǔ,phấn đấu,phấn đấu,0,2,0,0,2,1,0,0,PASS,PASS
事业,3,2,shì yè,sự nghiệp,"Sự nghiệp, công việc kinh doanh hoặc sự nghiệp cá nhân",0,2,1,1,2,1,0,0,PASS,PASS
事先,3,2,shì xiān,trước,trước,0,1,1,2,2,1,0,0,PASS,PASS
事实,3,2,shì shí,sự thật,sự thật,1,1,0,0,1,1,0,1,PASS,PASS
事情,2,2,shì qing,việc,việc,0,3,1,1,9,7,0,0,PASS,PASS
事故,3,2,shì gù,tai nạn,"tai nạn, sự cố",0,2,0,0,1,2,0,0,PASS,PASS
于是,2,2,yú shì,sau đó,"sau đó, vì vậy, do đó",0,2,0,0,2,1,0,1,PASS,PASS
互相,2,2,hù xiāng,lẫn nhau,"Lẫn nhau, qua lại",0,4,1,1,4,2,0,1,PASS,PASS
互补,3,2,hù bǔ,bổ sung cho nhau,"bổ sung cho nhau, hỗ trợ nhau",0,0,0,0,1,1,0,0,PASS,PASS
五一,2,2,wǔ yī,Mùng 1 tháng 5 (Ngày Quốc tế Lao động),Mùng 1 tháng 5 (Ngày Quốc tế Lao động).,0,0,0,0,2,1,1,0,PASS,PASS
五十,1,2,wǔ shí,năm mươi,năm mươi,0,0,0,0,4,3,0,0,PASS,PASS
亚洲,2,2,Yà zhōu,châu Á,châu Á,0,0,0,0,3,1,0,0,PASS,PASS
交往,3,2,jiāo wǎng,giao lưu,giao lưu; qua lại; có mối quan hệ xã hội,0,1,0,0,2,1,0,0,PASS,PASS
交易,3,2,jiāo yì,giao dịch,"giao dịch, mua bán, trao đổi",0,1,0,0,1,1,0,0,PASS,PASS
交流,2,2,jiāo liú,trao đổi,"trao đổi, giao lưu",0,0,0,0,0,1,0,0,PASS,PASS
交涉,3,2,jiāo shè,đàm phán,Giao thiệp — đàm phán; thương lượng.,0,0,0,0,3,1,0,1,PASS,PASS
交给,2,2,jiāo gěi,bàn giao,bàn giao,0,0,0,0,2,1,0,0,PASS,PASS
交警,3,2,jiāo jǐng,cảnh sát giao thông,cảnh sát giao thông,0,2,0,0,2,1,0,0,PASS,PASS
交费,3,2,jiāo fèi,nộp phí,"nộp phí, thanh toán phí",0,0,0,0,1,1,0,0,PASS,PASS
交通,2,2,jiāo tōng,giao thông,giao thông,0,3,0,0,4,3,0,0,PASS,PASS
产生,2,2,chǎn shēng,sản xuất,"sinh ra, sản sinh, tạo ra",0,2,0,0,1,2,0,2,PASS,PASS
享受,2,2,xiǎng shòu,tận hưởng,tận hưởng,0,2,0,0,5,2,0,0,PASS,PASS
京剧,2,2,jīng jù,Kinh kịch,"Kinh kịch; một loại hình nghệ thuật sân khấu truyền thống của Trung Hoa với đặc điểm là hát, nói, diễn, múa kết hợp",0,2,1,1,2,1,0,0,PASS,PASS
亲人,3,2,qīn rén,thành viên trong gia đình,"Người thân, người ruột thịt",0,3,0,0,3,1,0,0,PASS,PASS
亲切,3,2,qīn qiè,thân thiện,Thân thiện,0,0,0,0,3,1,0,1,PASS,PASS
